type,author,content,ip,time
2056,ARROW,guilty13,人家去年11月買到2月 股價沒啥動 你多的是機會,,06/07 10:51
2057,ARROW,blue1204,喔耶 三商電噴噴～昨天跌停94爽,,06/07 10:51
2058,PUSH,s155260,其他股都賺爛了還有人看多空都浪費時間的船？,,06/07 10:51
2059,PUSH,clusis,堅守阿榮，邁向萬七！,,06/07 10:51
2060,PUSH,seaice,飛宏下山了哦,,06/07 10:51
2061,ARROW,ASDF41514,三商電今天?,,06/07 10:51
2062,PUSH,arcofbu,奇怪台燿最近一直漲，為什麼啊？,,06/07 10:51
2063,ARROW,laechan,欣興則跌2%內要看龍哥空的價位,,06/07 10:51
2064,PUSH,kinki999,要找封測，還一堆沒漲的,,06/07 10:51
2065,PUSH,littenVenus,\萬七/ \萬七/,,06/07 10:52
2066,PUSH,eupa1973,跟哲哲有人說他對哲，我到是賺錢,,06/07 10:52
2067,ARROW,YU1225,長榮等明年碳權再考慮玩 但沒有的話就不玩,,06/07 10:52
2068,ARROW,frankie30432,腳踏車就等基金上來拱就好,,06/07 10:52
2069,PUSH,nigatsuki,買衣服就跟他說你會自己穿啊不用麻煩...我都會講,,06/07 10:52
2070,PUSH,simon81345,50反一價格說明了一切...4.87，買了是87,,06/07 10:52
2071,PUSH,pipi2,腳踏車又踩起來了,,06/07 10:52
2072,ARROW,guilty13,阿那個時候不到40塊 現在55 是不是該過了就過了,,06/07 10:52
2073,PUSH,scum5566,8996還在噴噴！！！,,06/07 10:52
2074,ARROW,littenVenus,https://i.imgur.com/amOqFG5.jpg,,06/07 10:52
2075,PUSH,DAPHNEWAN,為何6218這麼洗QQ,,06/07 10:52
2076,BOO,xperiaxa,哈哈昨天就說過今天可能開高結算,,06/07 10:52
2077,ARROW,pttstock,天啊 全台股民只有我賠錢 :(,,06/07 10:52
2078,PUSH,doyeewuer,感謝YU 我當教徒上車,,06/07 10:52
2079,ARROW,nigatsuki,每次聽到那個什麼來我幫你都怕.jpg,,06/07 10:52
2080,ARROW,xperiaxa,G大你心裡有陰影,,06/07 10:52
2081,ARROW,f204137,光頭王也差不多啊 假外資都是這種操作心態,,06/07 10:52
2082,ARROW,YU1225,https://i.imgur.com/Q901jTV.jpg,,06/07 10:52
2083,PUSH,agvnol,全面大漲，財經雜誌，達人可以出文章賺稿費嘍,,06/07 10:53
2084,PUSH,apolloapollo,期貨結算是21號 樓上有人講錯了,,06/07 10:53
2085,ARROW,littenVenus,7a大好佛XDDD,,06/07 10:53
2086,ARROW,goodjop,放心 走出來了 我很樂觀的,,06/07 10:53
2087,PUSH,j6569642,龍哥到底有沒有空肉鬆跟技嘉啊,,06/07 10:53
2088,PUSH,adriano7431,https://i.imgur.com/0sIatyG.jpg 吃午餐了啦,,06/07 10:53
2089,ARROW,YU1225,Dou大 歡迎上車！,,06/07 10:53
2090,BOO,jinso7410,https://i.imgur.com/RTAmEsg.jpg,,06/07 10:53
2091,ARROW,eupa1973,有錢一起賺，市場上錢多多啊,,06/07 10:53
2092,PUSH,someo,立積不下去 等等要噴嗎,,06/07 10:53
2093,BOO,WisdomOrLie,南電破月線啦  進去空爆他!!!!!!!!!,,06/07 10:53
2094,ARROW,s155260,龍哥放空的今天好像都紅 陳媽媽快哭了,,06/07 10:53
2095,PUSH,WADE0616,4138快燈了 衝啊!!!!!!,,06/07 10:54
2096,BOO,Crushredkiss,今天是週結啦..,,06/07 10:54
2097,BOO,qscxz,前鼎行不行啊,,06/07 10:54
2098,ARROW,guilty13,做多就買走多的股票這是常態 但也是要看價位的阿,,06/07 10:54
2099,PUSH,yichun0825,燒垃圾黑K那天跟FJ加碼真的舒服,,06/07 10:54
2100,PUSH,karalove,都不知道在漲什麼，但就一直慢慢漲,,06/07 10:54
2101,ARROW,wingtone,緯創沒力了,,06/07 10:54
2102,PUSH,seaice,金項鍊又往上走了,,06/07 10:54
2103,ARROW,pttstock,怕股市的可以去跟美國葉倫阿罵買新美國債 殖利率高,,06/07 10:54
2104,ARROW,DAEVA,fed會議完會不會就直噴17500了,,06/07 10:54
2105,PUSH,cafein,空軍阿彌陀佛,,06/07 10:54
2106,BOO,nigatsuki,放牛肉鍋太可惡了吧,,06/07 10:54
2107,PUSH,hoholly,感謝GU大大! 但怎麼看是去年11月開始進場?我剛差點,,06/07 10:54
2108,PUSH,werty5445,萬七,,06/07 10:54
2109,ARROW,blue1204,太爽惹 三商電先出一半，昨天亂撿都贏,,06/07 10:55
2110,PUSH,lkm1525,ABF跌爽沒,,06/07 10:55
2111,PUSH,SeaForest,https://i.imgur.com/e8r1YFw.jpg,,06/07 10:55
2112,PUSH,kai2573,緯創給我下去,,06/07 10:55
2113,ARROW,pttstock,葉倫阿罵發美國新債券=Fed升息 :),,06/07 10:55
2114,PUSH,dethes,請益，2206放著有機會破百嗎？,,06/07 10:55
2115,PUSH,rayccccc,吃鍋貼啦,,06/07 10:55
2116,ARROW,hoholly,回今年5/24....真的是看太淺QQ,,06/07 10:55
2117,ARROW,guilty13,你看就百張跟千張股東的數據不就很清楚,,06/07 10:55
2118,PUSH,iceman321,鰻魚要撞前高..注意,,06/07 10:55
2119,PUSH,qoo60218,準備集合看老蘇！！！！,,06/07 10:55
2120,ARROW,tingover,三商電昨天撿一堆還以為要套死,,06/07 10:55
2121,PUSH,zse24,三商電昨天那樣今天就開始噴 他媽的刷新三觀,,06/07 10:56
2122,PUSH,on32,不升息噴上萬七,,06/07 10:56
2123,ARROW,pttstock,大立光 林恩平 每一天好好努力工作是重要的 :),,06/07 10:56
2124,PUSH,DAPHNEWAN,這時候就是感謝FJ心法不追高不怕洗~但還是希望能緩,,06/07 10:56
2125,PUSH,yahappy4u,技嘉好像高點了欸，要追嗎,,06/07 10:56
2126,ARROW,ioofish,VVVVVVVVVV,,06/07 10:56
2127,ARROW,DAPHNEWAN,漲~,,06/07 10:56
2128,PUSH,WADE0616,4138漲停過高 開心,,06/07 10:57
2129,PUSH,BLUESKY101,羨慕7a多單賺爆,,06/07 10:57
2130,PUSH,a26893997,爽啦 VVVVVVVVVVVVV 嘎死空軍,,06/07 10:57
2131,ARROW,pttstock,丁丁 股票就是要追高 追高都在賺!!,,06/07 10:57
2132,PUSH,ipath19,2427沒有最妖只有更妖,,06/07 10:57
2133,PUSH,a052612565,今天這走法收最高的機率挺大的吧,,06/07 10:57
2134,PUSH,tonylolz,2432名字很酷,,06/07 10:58
2135,PUSH,max220,寬宏一根XD,,06/07 10:58
2136,ARROW,baka1412,https://i.imgur.com/CdnCE3o.jpg,,06/07 10:58
2137,ARROW,pttstock,緯創每天量都很大 怎麼上不去??,,06/07 10:58
2138,ARROW,appledick,創意又再壓現貨了 煩不煩啊,,06/07 10:58
2139,PUSH,alex5477,面板要怎麼加入ai?,,06/07 10:58
2140,PUSH,joeboy,誰追雞排誰烙賽 我跟你說 空爛,,06/07 10:58
2141,BOO,Crushredkiss,空蛙QQ,,06/07 10:58
2142,PUSH,faye112358,哲哲大獲全勝,,06/07 10:58
2143,PUSH,YU1225,面板是報價往上…都公開資訊了,,06/07 10:59
2144,PUSH,bolovema,ABF好慘 別人在漲就它一直跌,,06/07 10:59
2145,PUSH,jubihu,剛在大便看一下盤結果三商電噴出就直接賣了,,06/07 10:59
2146,BOO,qscxz,這走勢 要漲150點嗎,,06/07 10:59
2147,PUSH,zxcv91039,要萬7了吧,,06/07 10:59
2148,PUSH,rayccccc,鍋貼軟了,,06/07 10:59
2149,PUSH,kisweet999,GG 感覺還在緩緩上攻 但 568 569 570 開始築牆了,,06/07 10:59
2150,PUSH,shiii,878在臭屁呀！被外資賣到爛掉！,,06/07 10:59
2151,PUSH,gp500adsl,AI項鍊太香了吧 博智跟上?,,06/07 11:00
2152,PUSH,iamthebest08,航空不行了嗎,,06/07 11:00
2153,PUSH,ak007,老蘇今天賣飛 金X電 但換股的那檔也大賺 是在？XD,,06/07 11:00
2154,PUSH,buyaowen,日月光準備下山啦~~~,,06/07 11:00
2155,PUSH,pttstock,+~老輸上線拉!!!!!!!!!!!!!,,06/07 11:00
2156,PUSH,hungyas,QQ只有我躺華碩嗎,,06/07 11:00
2157,PUSH,jacky507143,馬的爛飛機快給我飛起來rrrr,,06/07 11:00
2158,PUSH,Parsons25,聾鴿：台股又在樂觀了,,06/07 11:01
2159,BOO,chuntien,拉G,,06/07 11:01
2160,PUSH,pipi2,鍋貼V轉耶,,06/07 11:01
2161,PUSH,logorock,卍卍,,06/07 11:01
2162,PUSH,abc0922002,這年頭誰手上沒有正二？ 賺爛了,,06/07 11:01
2163,PUSH,YU1225,航空還沒結束啦….,,06/07 11:01
2164,BOO,Crushredkiss,弟弟都掛牙醫 哥哥不知道要掛哪一科,,06/07 11:01
2165,ARROW,WEYNI,偷拍別人 上傳網路會有事嗎QQ,,06/07 11:01
2166,PUSH,sofina426,金像電又漲！！！,,06/07 11:01
2167,PUSH,dosiris,拉指數騙散戶接刀 別上當,,06/07 11:01
2168,BOO,photoless,還有智障在空 笑屎,,06/07 11:01
2169,ARROW,guilty13,不是不怕洗 你成本位置差 隨便回檔都是10趴起跳,,06/07 11:02
2170,BOO,call5566me,明天肯定萬7了  重返農藥,,06/07 11:02
2171,PUSH,dethes,抱歉，看不太懂2206股東數據，能請益一下嗎？,,06/07 11:02
2172,PUSH,pypy93264,今天感覺就這樣了...沒便宜撿,,06/07 11:02
2173,ARROW,guilty13,沒幾個人捏得住啦~,,06/07 11:02
2174,BOO,Crushredkiss,去年18500買 直接扛了3.40% QQ,,06/07 11:03
2175,PUSH,apolloapollo,神轎出貨誒,,06/07 11:03
2176,BOO,GoGoD,和牛龍蝦帝王蟹鮑魚魚翅烏魚子，開吃!,,06/07 11:03
2177,BOO,geniustu,操你個蛋王品快400，那還需要ABF猩猩南電?,,06/07 11:03
2178,ARROW,kapiobhee,五日線都還沒破,,06/07 11:03
2179,PUSH,ajkofqq,龍哥說16700未來很難見到  也算對啦  :),,06/07 11:03
2180,PUSH,nigatsuki,還在盤中是否不該點八方 哭啊,,06/07 11:03
2181,PUSH,fps5566,中再保蹲的好舒服,,06/07 11:03
2182,PUSH,zeroxod,拉指數 會不會是因為驚驚漲?,,06/07 11:03
2183,PUSH,buyaowen,有沒有還沒什麼漲的優質股可以介紹一下,,06/07 11:04
2184,ARROW,appledick,半導體都說要復甦了 還不全面給我噴起來,,06/07 11:04
2185,PUSH,joe2,台股噴發到你無法想像,,06/07 11:04
2186,ARROW,blue1204,力旺又回兩千了喔 笑死,,06/07 11:04
2187,ARROW,Crushredkiss,81扛到48 直接吃滿-40%,,06/07 11:04
2188,PUSH,fourkg,VVVV  從萬五V到快萬七,,06/07 11:04
2189,PUSH,frank0810,3052多A一下阿,,06/07 11:04
2190,PUSH,on32,費半再噴幾天都能回到4000了,,06/07 11:04
2191,PUSH,pttstock,靠! 怎麼是王榮旭老輸 !!!,,06/07 11:04
2192,ARROW,appledick,50反一啊 都沒漲耶 有夠優質的,,06/07 11:04
2193,ARROW,ajkofqq,錢景一片光明  懂的都懂  :),,06/07 11:04
2194,PUSH,kis28519,萬七還賠錢，請檢討,,06/07 11:04
2195,PUSH,alex5477,基本上abf這種長期看漲的東西根本不用擔心 震盪一下,,06/07 11:05
2196,PUSH,qoo60218,怎麼是榮旭仔？,,06/07 11:05
2197,PUSH,dosiris,台表科能不能撿 萬潤再來就表哥了吧,,06/07 11:05
2198,ARROW,alex5477,而已 馬上又上去了,,06/07 11:05
2199,PUSH,addy7533967,一次買35張，真大手筆0.0,,06/07 11:05
2200,ARROW,pttstock,對阿 50反1真的都不會漲 :(,,06/07 11:05
2201,BOO,call5566me,旅遊就剩雄獅在廢,,06/07 11:05
2202,ARROW,appledick,萬七賠錢的 想當然會一路賠到萬八,,06/07 11:05
2203,ARROW,BLUESKY101,https://i.imgur.com/huMi7k2.png,,06/07 11:05
2204,ARROW,BLUESKY101,哎呀 午餐吃啥呢,,06/07 11:05
2205,ARROW,pttstock,50反1 漲到10元 就可以財富自由了 :),,06/07 11:05
2206,ARROW,Crushredkiss,飛天空蛙QQ,,06/07 11:05
2207,ARROW,joe2,"逃命波逃了上漲4,000點",,06/07 11:05
2208,PUSH,f204137,中再保股價會接近台產 台產其實比較甜...但它滿難a,,06/07 11:06
2209,PUSH,AndyMAX,牛極蟹,,06/07 11:06
2210,ARROW,appledick,笑了 空蛙會不會漲萬點還再凹 逃命波,,06/07 11:06
2211,ARROW,addy7533967,最近樂透股都在前高附近飄，不上不下ㄉ,,06/07 11:06
2212,ARROW,q22w,好樂迪是怎樣 上萬七大家開心到瘋狂唱歌喔,,06/07 11:06
2213,ARROW,ajkofqq,藍天哥好神  一路賺爛  羨慕 :),,06/07 11:06
2214,PUSH,a633599,長榮鋼 給點尊重吧 盤後就要開法說了,,06/07 11:06
2215,ARROW,ptrpan,暑假到了~學生概念股~,,06/07 11:07
2216,ARROW,pttstock,緯創大家都不理她了 可憐的878,,06/07 11:07
2217,PUSH,hoholly,謝謝GU大!已在車上的這樣感覺大戶沒走就可以放,,06/07 11:07
2218,PUSH,Nick0907,金雞加油 幫我生蛋蛋~,,06/07 11:07
2219,BOO,stanleyplus,大家都賺錢了吧 沒人傻到賠錢吧,,06/07 11:07
2220,PUSH,frank0810,漲幅排行都沒有我的股票 難過,,06/07 11:07
2221,PUSH,rayccccc,鍋貼rrrrrrrrrrrrrr,,06/07 11:07
2222,ARROW,blue1204,三商電續噴 太舒服了吧,,06/07 11:07
2223,PUSH,Buddy,緯創融資拜託自己先自殺,,06/07 11:07
2224,PUSH,dffdff,滑航就只有你往下跑 廢到笑,,06/07 11:07
2225,ARROW,dethes,我就賠錢，2206追高買在92塊XD,,06/07 11:07
2226,BOO,Crushredkiss,還有空蛙嗎 還有人不信會漲的嗎 QQ,,06/07 11:08
2227,PUSH,f204137,5月自結 大概又是破億水準 搞不好會接近2億呢...XD,,06/07 11:08
2228,ARROW,hidezou1,飛機到底在演什麼啦,,06/07 11:08
2229,PUSH,tigerzz3,緯創撐不住惹ㄇ,,06/07 11:08
2230,PUSH,tzjjkonuj,好樂迪以前疫情都50上下，解封跟營運餐飲擴張該漲,,06/07 11:08
2231,BOO,distantblc,RRRR被騙了阿,,06/07 11:08
2232,ARROW,WEYNI,今天尾盤再來買工兵 化學兵…希望殺低一點,,06/07 11:08
2233,PUSH,tsai18,星星都從130漲到190了......自己追高的不要怪別人啦,,06/07 11:08
2234,ARROW,pttstock,緯創跌到腰斬 投信會自砍 :),,06/07 11:08
2235,PUSH,overkiller,這一波真的好猛 完全沒有回檔,,06/07 11:09
2236,ARROW,appledick,期貨明明就硬爆 現貨價格當參考就行了,,06/07 11:09
2237,ARROW,ptrpan,毅嘉出貨~,,06/07 11:09
2238,PUSH,twinbaga,緯創跌破五日線，應該差不多了，連討論度都大降,,06/07 11:09
2239,ARROW,pttstock,緯創都沒券 連嘎空都沒力 很慘 :),,06/07 11:09
2240,PUSH,loveponpon,世新？,,06/07 11:09
2241,ARROW,hidezou1,推文與我是兩個世界QQ,,06/07 11:09
2242,PUSH,inconspicous,大家最愛的拉積盤來囉,,06/07 11:09
2243,ARROW,f204137,它的狀況就像去年1元泥 FVPL獲利今年明顯回灌,,06/07 11:09
2244,ARROW,tinybunny,為何外資一直進貨股價不會動?沒人要嗎?,,06/07 11:10
2245,PUSH,fhscyt,感謝fj和yu大大開示~,,06/07 11:10
2246,BOO,tu1031,台股世界強 漲多跌少黑手賺飽飽,,06/07 11:10
2247,PUSH,lkm1525,崩到懷疑人生,,06/07 11:10
2248,PUSH,ben192726,怎麼上面有使用大學堂的朋友,,06/07 11:10
2249,PUSH,a0921387223,2393慢慢拉 舒舒服服,,06/07 11:11
2250,ARROW,pttstock,王榮旭老輸快滾拉 廢話一堆 我在等+~老輸上線!!,,06/07 11:11
2251,ARROW,WEYNI,賠錢的不需要太難過吧 債蛙陪你…,,06/07 11:11
2252,ARROW,blue1204,資服最近好卡 沒人要炒了喔,,06/07 11:11
2253,BOO,geniustu,軒郁五月年增月增，成績那麼好，今天崩6趴?,,06/07 11:11
2254,PUSH,chobit618,今天把剩下的140股緯創 70塊賣了,,06/07 11:11
2255,PUSH,f204137,股市今年強成這樣 金融業是直接受惠 等成績公布而已,,06/07 11:11
2256,PUSH,rayccccc,鍋貼AAAAAAAAA,,06/07 11:11
2257,ARROW,appledick,是多少人放空緯創啦 跌一些而已一直叫 叫屁啊,,06/07 11:11
2258,ARROW,pttstock,輝達大股東都在出 懂得就懂 :),,06/07 11:11
2259,PUSH,LOLIYI,可以買滑墊了!!!AAAA了,,06/07 11:12
2260,PUSH,tigerzz3,台達電太猛,,06/07 11:12
2261,PUSH,narf,剛剛也出清緯創了,,06/07 11:12
2262,PUSH,ak007,一直進貨股價不動 說不定是買籌碼來殺的www,,06/07 11:12
2263,ARROW,ptrpan,出貨的不少~~~,,06/07 11:12
2264,PUSH,arcticocean,長榮有撐欸，不錯喔,,06/07 11:12
2265,ARROW,scum5566,中興電 華城沒漲 可憐哪,,06/07 11:13
2266,BOO,ck326,拉G掩護出貨，老招了,,06/07 11:13
2267,PUSH,qoo60218,紅雞有種把32.5撞破，嘎爛聾鴿,,06/07 11:13
2268,ARROW,pttstock,王榮旭老輸你快下線拉 吵死了:(,,06/07 11:13
2269,PUSH,YU1225,金融股下半年保守保守還有20-25%肉起,,06/07 11:13
2270,PUSH,bleach06bb,設備噴爆萬潤何時回100,,06/07 11:13
2271,ARROW,bearss,緯創現在從容走出場總比等人踩人時被抬出去好,,06/07 11:13
2272,ARROW,arcticocean,長榮主力繼續吃,,06/07 11:13
2273,PUSH,BIGBIGFISH,期待元大自營砸了這麼多錢到底賺了多少,,06/07 11:13
2274,PUSH,loveponpon,我的肉鬆變這麼強 真不習慣,,06/07 11:13
2275,ARROW,kilik0960,聯詠有壓 加油呀,,06/07 11:13
2276,PUSH,night0805,忽見都不忽見了,,06/07 11:13
2277,PUSH,house911,肉鬆好猛 趕進度?,,06/07 11:14
2278,ARROW,ptrpan,今天應該就控在這~不會169了,,06/07 11:14
2279,PUSH,a0808996,今天沒人賠錢ㄅ???,,06/07 11:14
2280,PUSH,marshmallowH,快逃,,06/07 11:14
2281,PUSH,peehs,肉鬆香?,,06/07 11:14
2282,PUSH,jenny416413,航空怎麼,,06/07 11:14
2283,ARROW,blue1204,肉鬆想蓋山頭了嗎,,06/07 11:14
2284,PUSH,nigatsuki,緯創感覺能走的就走喔,,06/07 11:14
2285,ARROW,BIGBIGFISH,暗黑概念股黑松也想要挑戰前高嗎,,06/07 11:15
2286,PUSH,j198811,台達,,06/07 11:15
2287,PUSH,loveponpon,肉鬆存股存多年了 反觀同樣存的鴻海,,06/07 11:15
2288,PUSH,TP62842UL3,緯創拉回就是找埋點 上看100 下一隻長榮,,06/07 11:15
2289,PUSH,joe2,開始嚇甩磨,,06/07 11:15
2290,PUSH,pttstock,不要害人買緯創 除非你是哲哲 :),,06/07 11:16
2291,ARROW,loveponpon,世新猛猛,,06/07 11:16
2292,PUSH,kobebird,寬宏沒注意竟然燈了 放到忘記,,06/07 11:16
2293,PUSH,ethan0419,黑手撐的好穩,,06/07 11:16
2294,ARROW,piece1,3231是一堆人搶著送錢給小兒讓他拉大盤?,,06/07 11:16
2295,ARROW,pttstock,越來越多人進來跳舞 很棒 :),,06/07 11:16
2296,ARROW,WEYNI,我買什麼跌什麼 基本都有跌5-10% 有人需要幫忙嗎,,06/07 11:16
2297,ARROW,pttstock,維尼大 幫忙買一下 GG,,06/07 11:17
2298,PUSH,OGC789456123,哇展基當初被抬去割的快解套了,,06/07 11:17
2299,PUSH,hoholly,想問問大家在哪邊觀察大戶進出?元大投資先生只能看,,06/07 11:17
2300,ARROW,bearss,緯創魚身、魚尾都吃了  現在進去是要吞魚骨嗎,,06/07 11:17
2301,PUSH,jubihu,材料在跌甚麼啦,,06/07 11:17
2302,ARROW,ethan0419,可以幫忙買大台嗎?,,06/07 11:17
2303,BOO,Crushredkiss,維尼不可能啦 你買正2都不會跌,,06/07 11:17
2304,PUSH,arcticocean,各產業輪動輪漲，該輪到低基期的貨櫃了,,06/07 11:17
2305,PUSH,f204137,明明是空蛙被咬得很緊... 緯創空單 測水溫有感,,06/07 11:17
2306,PUSH,peace1way,剛才鄉民還在high，我就說緯創要上也沒這麼簡單吧…,,06/07 11:17
2307,PUSH,kis28519,中國5月美元計價出口年率-7.5%，預期-1.8%，前期8.5,,06/07 11:17
2308,PUSH,betrayalme,貨櫃好可黏哦,,06/07 11:17
2309,PUSH,frank0810,1568在修理追高仔嗎,,06/07 11:17
2310,PUSH,agvnol,好樂迪要噴去哪,,06/07 11:17
2311,PUSH,ak007,那幫忙買個台勝科 試水 我真的想知道它在搞哪招XD,,06/07 11:17
2312,ARROW,Crushredkiss,你現在買正2都能賺錢,,06/07 11:18
2313,ARROW,ak007,,,06/07 11:18
2314,ARROW,WEYNI,我第一筆債正二買11.55 你看看烙賽多少QQ,,06/07 11:18
2315,ARROW,ichitakajoe,材料就走ABF的路 送分題,,06/07 11:18
2316,PUSH,night0805,99景碩,,06/07 11:18
2317,ARROW,hoholly,三個月，yahoo股市能看一年，有那個網站或APP可以觀,,06/07 11:18
2318,ARROW,arcticocean,至少貨櫃就等，不用擔心追高套,,06/07 11:18
2319,PUSH,loveponpon,https://i.imgur.com/ibXRLNU.jpg,,06/07 11:18
2320,ARROW,WEYNI,慢慢攤下來還11.43,,06/07 11:18
2321,ARROW,ptrpan,倒底緯創這個成交量在成交什麼的~,,06/07 11:18
2322,PUSH,tree1992,6187到底要不要鎖回去，在那邊掙扎,,06/07 11:18
2323,PUSH,pearlQQ,正2還能追？？,,06/07 11:18
2324,ARROW,hoholly,察長時間的大戶走向啊?,,06/07 11:18
2325,PUSH,pttstock,緯創很怪 就是嘎不了空軍 :),,06/07 11:18
2326,PUSH,O10lOl01O,緯創真的癱軟欸...還好70.2有清掉,,06/07 11:19
2327,ARROW,blue1204,華碩真低爛,,06/07 11:19
2328,PUSH,otsuka123,龍哥其實很強 說集中火力 用詞很精妙,,06/07 11:19
2329,ARROW,peace1way,緯創見綠就買，沖多的目前全套當中…,,06/07 11:19
2330,PUSH,momo5426mo,ABF跌倒，台股吃到飽,,06/07 11:19
2331,PUSH,chalon,幃翔要起飛沒,,06/07 11:19
2332,ARROW,WEYNI,買一張 聯亞買107.5 結果隔天跌7%…QQ,,06/07 11:19
2333,ARROW,chalon,5536....好慘 QQ 被出貨,,06/07 11:19
2334,ARROW,pttstock,龍哥 最強 運通都畢不了業 :),,06/07 11:19
2335,ARROW,bearss,緯創今天這盤應該是在狙擊當沖的.....,,06/07 11:20
2336,ARROW,soome,緯創殺不下來，應該是在甩轎,,06/07 11:20
2337,ARROW,ak007,不要玩我的石頭www  不要動才是好存股XD,,06/07 11:20
2338,PUSH,ajkofqq,龍哥火力在哪支  反一嗎,,06/07 11:20
2339,ARROW,fakelie,洽龍 995Q_Q,,06/07 11:20
2340,ARROW,Crushredkiss,正2我129追 130追都賺,,06/07 11:20
2341,ARROW,pttstock,王榮旭老輸也太扯 你時間也太多了 廢話一堆 快滾拉!,,06/07 11:20
2342,PUSH,YU1225,當兵注意.準時吃飯!,,06/07 11:20
2343,ARROW,WEYNI,所以我現在都先買一張 等自爆技能發動 再進場,,06/07 11:20
2344,PUSH,qoo60218,聾鴿還敢空紅雞啊！！！！,,06/07 11:20
2345,PUSH,O10lOl01O,緯創新低 還不快買起來?,,06/07 11:21
2346,PUSH,loveponpon,買不回來的正二 嗚嗚,,06/07 11:21
2347,PUSH,pipi2,ABF大盤反一,,06/07 11:21
2348,PUSH,chalon,fakelie買啥呢?,,06/07 11:21
2349,ARROW,bearss,緯創別急 尾盤要多低有多低....,,06/07 11:21
2350,ARROW,WEYNI,早上買了一張中工 跟中華化 就技能發動了..QQ,,06/07 11:21
2351,PUSH,frank0810,五月花？？？,,06/07 11:21
2352,ARROW,Crushredkiss,只買一張不會跌啦 維尼你現在一半資金買正二都賺,,06/07 11:21
2353,PUSH,asq176,阿亞又來了,,06/07 11:22
2354,PUSH,whlinton297,電視分析師真的笑死 一堆漲停板的盤都怕沒得講,,06/07 11:22
2355,ARROW,chalon,3042 慢慢牛 慢慢扭 上一百 好噗好,,06/07 11:22
2356,PUSH,jenny416413,緯創應該還不用賣,,06/07 11:22
2357,PUSH,jubihu,緯創71樓 等待各位搭救 878給點力,,06/07 11:22
2358,ARROW,WEYNI,你看工兵 化學兵 是不是下來了QQ,,06/07 11:22
2359,PUSH,masalovelove,眼鏡行給人上車的機會嗎,,06/07 11:22
2360,ARROW,snow201lee,說緯創綠就買 怎麼我還賠錢,,06/07 11:22
2361,PUSH,kmark1120,正2不敢追的 不會買0050喔 上週買的今天也賺啊,,06/07 11:22
2362,ARROW,xperiaxa,拜託不要在吹正2 啊啊啊日嘻嘻嘻,,06/07 11:23
2363,PUSH,max220,五月花XD,,06/07 11:23
2364,ARROW,bearss,見綠就買? 還是買到見綠....,,06/07 11:23
2365,PUSH,otsuka123,美股AI才是漲真的 回檔買緯x作啥..買最頂的,,06/07 11:23
2366,PUSH,androider,cowos噴爛,,06/07 11:23
2367,PUSH,winddrinks,南電營收太爛了,,06/07 11:23
2368,ARROW,WEYNI,買不到見綠 就自己買讓他變綠…QQ,,06/07 11:23
2369,ARROW,androider,辛耘 弘塑,,06/07 11:23
2370,PUSH,abc0922001,禮拜一我朋友才買006208 72.95，現在都73.80了,,06/07 11:24
2371,PUSH,f204137,美國AI大頭CEO還來台灣巡田水 當然是有關連...,,06/07 11:24
2372,PUSH,LOLIYI,必應跟寬宏一起飛xd,,06/07 11:24
2373,ARROW,snow201lee,第一天買緯創就被套 真的韭,,06/07 11:24
2374,ARROW,TP62842UL3,散戶etf 趕快來買緯創 綠買紅賣賺錢好簡單,,06/07 11:24
2375,PUSH,pttstock,緯創怎麼了!,,06/07 11:24
2376,ARROW,ptrpan,看樣子緯創要發動了~,,06/07 11:24
2377,PUSH,richardc277,救救萬潤,,06/07 11:24
2378,ARROW,blue1204,緯創要趕進度惹 怕,,06/07 11:24
2379,ARROW,jalai,緯創不是爆量了嗎? 怎麼有人會去買?,,06/07 11:24
2380,ARROW,otsuka123,炒一波到頂不知要整理多久 龍哥難怪說台股AI是泡沫,,06/07 11:24
2381,ARROW,O10lOl01O,緯創跳水?,,06/07 11:24
2382,ARROW,otsuka123,..,,06/07 11:24
2383,PUSH,peace1way,我先說我剛才是沖空70.5的緯創，所以今天看衰啦…,,06/07 11:24
2384,PUSH,tigerzz3,有發動了 向下,,06/07 11:24
2385,PUSH,fishead1116,緯創買高點別怕啦 大型股很少一次崩的,,06/07 11:24
2386,ARROW,fdkevin,緯創見綠就買的記得買,,06/07 11:25
2387,ARROW,pttstock,0.0 今天東森怎麼沒+~老輸!!!!!!!!!!!!!!!!!!!!,,06/07 11:25
2388,PUSH,winxp999,阿姨快搖啊～～～,,06/07 11:25
2389,ARROW,bearss,緯創成本29...70出清....看戲中  XDD,,06/07 11:25
2390,ARROW,jalai,緯創先破68,,06/07 11:25
2391,ARROW,pttstock,+~老輸通告被取消了嗎?!!!,,06/07 11:25
2392,ARROW,leoyuan,阿姨的股票果然都脫離基本面的,,06/07 11:25
2393,ARROW,O10lOl01O,乾 我今天收工了欸 緯創摔到我都想再進場了,,06/07 11:25
2394,BOO,call5566me,噴一下啊QQQQQ,,06/07 11:25
2395,PUSH,lepidoptera,緯創終於死去…,,06/07 11:25
2396,PUSH,ZXCWS,星雲大師太猛 直接漲停鎖,,06/07 11:25
2397,PUSH,pipi2,技嘉無極限耶,,06/07 11:26
2398,PUSH,whlinton297,今天沖多緯創的會不會尾盤哭哭?,,06/07 11:26
2399,PUSH,GivemeApen,abf突然沒人要了？,,06/07 11:26
